hand,best_action,best_ev
A4s,R2.1,0.0101
A7s,R2.1,0.01058
AQo,R2.1,0.01231
A8s,R2.1,0.01379
66,R2.1,0.01397
QTs,R2.1,0.01427
A5s,R2.1,0.0154
QJs,R2.1,0.01616
A9s,R2.1,0.01698
JTs,R2.1,0.01807
KTs,R2.1,0.01815
KJs,R2.1,0.02009
77,R2.1,0.02157
88,R2.1,0.02744
KQs,R2.1,0.02787
ATs,R2.1,0.0336
99,R2.1,0.03847
AJs,R2.1,0.04159
AKo,R2.1,0.04339
